code,name,exit_date,exit_price,reason,d3_price,d3_rate,d5_price,d5_rate,d10_price,d10_rate,d20_price,d20_rate
412350,레이저쎌,2026-05-18,13060,부분익절(+22.4%),11510,-11.87,10780,-17.46,9150,-29.94,5880,-54.98
036930,주성엔지니어링,2026-05-19,181900,모멘텀약화(+12.3%),224000,23.14,234500,28.92,200000,9.95,199000,9.4
290660,다이나믹솔루션,2026-05-20,1095,손절(캔들확인),1057,-3.47,1057,-3.47,818,-25.3,939,-14.25
261780,차백신연구소,2026-05-20,3540,손절(캔들확인),3225,-8.9,3225,-8.9,2900,-18.08,2495,-29.52
078890,가온그룹,2026-05-20,8380,손절(캔들확인),8620,2.86,8620,2.86,6770,-19.21,5790,-30.91
031330,에스에이엠티,2026-05-21,13610,손절(캔들확인),18170,33.5,18170,33.5,14700,8.01,14980,10.07
048770,TPC로보틱스,2026-05-21,5850,본전보호(캔들확인),6690,14.36,6690,14.36,5200,-11.11,4295,-26.58
066570,LG전자,2026-05-21,210000,모멘텀약화(+16.3%),239500,14.05,239500,14.05,380500,81.19,224000,6.67
006260,LS,2026-05-22,568000,모멘텀약화(+11.4%),553000,-2.64,508000,-10.56,466000,-17.96,373500,-34.24
012330,현대모비스,2026-05-29,779000,모멘텀약화(+13.4%),761000,-2.31,759000,-2.57,570000,-26.83,603000,-22.59
005930,삼성전자,2026-06-01,343000,모멘텀약화(+13.4%),351500,2.48,302500,-11.81,299000,-12.83,353500,3.06
018260,삼성에스디에스,2026-06-02,286500,손절(캔들확인),252500,-11.87,225000,-21.47,237000,-17.28,208500,-27.23
034220,LG디스플레이,2026-06-04,15830,손절(캔들확인),12910,-18.45,12910,-18.45,14130,-10.74,12180,-23.06
009150,삼성전기,2026-06-04,1716000,손절(캔들확인),1805000,5.19,1805000,5.19,1999000,16.49,1964000,14.45
000660,SK하이닉스,2026-06-05,2095000,손절(캔들확인),2048000,-2.24,2048000,-2.24,2288000,9.21,2917000,39.24
000650,천일고속,2026-06-05,232500,손절(캔들확인),192000,-17.42,192000,-17.42,199900,-14.02,181300,-22.02
084670,동양고속,2026-06-05,44650,손절(캔들확인),37100,-16.91,37100,-16.91,36700,-17.81,32100,-28.11
