date,time,kodex200_change_rate,guard_threshold
2026-06-30,09:21:02,-0.29,1.5
2026-06-30,09:22:05,0.05,1.5
2026-06-30,09:23:08,-0.33,1.5
2026-06-30,09:24:12,-0.44,1.5
2026-06-30,09:25:13,-0.12,1.5
2026-06-30,09:26:14,-0.49,1.5
2026-06-30,09:27:17,-0.54,1.5
2026-06-30,09:28:18,-0.56,1.5
2026-06-30,09:29:20,-0.73,1.5
2026-06-30,09:30:23,-0.37,1.5
2026-06-30,09:31:27,-0.82,1.5
2026-06-30,09:32:28,-0.81,1.5
2026-06-30,09:33:31,-0.58,1.5
2026-07-01,09:20:53,-0.41,1.5
2026-07-01,09:21:53,-0.95,1.5
