date,sector,sector_rank,sector_avg_momentum,code,name,signal_price,momentum,is_uptrend,ma20,ma60,volume_ratio,foreign_5d_net_buy_mil,passed_all_filters,selected,bb_pct,atr,avg_tr_pbmn_mil
2026-05-12,마이크로 LED,1,58.14,038060,루멘스,101.73,True,,False,False,,,,,,,
2026-05-12,마이크로 LED,1,58.14,046890,서울반도체,57.17,True,0,True,True,,,,,,,
2026-05-12,마이크로 LED,1,58.14,066570,LG전자,52.28,True,0,True,True,,,,,,,
2026-05-12,마이크로 LED,1,58.14,017900,광전자,21.37,True,0,True,False,,,,,,,
2026-05-12,로봇(산업용/협동로봇 등),2,48.83,319400,현대무벡스,57.69,True,0,True,True,,,,,,,
2026-05-12,로봇(산업용/협동로봇 등),2,48.83,012200,계양전기,57.44,False,,False,False,,,,,,,
2026-05-12,로봇(산업용/협동로봇 등),2,48.83,264850,이랜시스,52.54,False,,False,False,,,,,,,
2026-05-12,로봇(산업용/협동로봇 등),2,48.83,090710,휴림로봇,27.64,False,,False,False,,,,,,,
2026-05-12,지능형로봇/인공지능(AI),3,47.1,078890,가온그룹,72.41,True,0,True,True,,,,,,,
2026-05-12,지능형로봇/인공지능(AI),3,47.1,098460,고영,58.14,True,,False,False,,,,,,,
2026-05-12,지능형로봇/인공지능(AI),3,47.1,125490,한라캐스트,41.87,True,0,True,False,,,,,,,
2026-05-12,지능형로봇/인공지능(AI),3,47.1,010820,퍼스텍,15.98,False,,False,False,,,,,,,
2026-05-13,로봇(산업용/협동로봇 등),1,88.76,048770,TPC로보틱스,6990,129.18,True,3998.0,3469.0,8.39,0,True,True,,,
2026-05-13,로봇(산업용/협동로봇 등),1,88.76,012200,계양전기,13050,113.93,True,7480.0,7178.0,5.27,0,True,True,,,
2026-05-13,로봇(산업용/협동로봇 등),1,88.76,090710,휴림로봇,13240,23.16,False,12191.0,12621.0,3.59,,False,False,,,
2026-05-13,스마트카(SMART CAR),2,34.06,000990,DB하이텍,173000,79.27,True,143565.0,106815.0,1.5,0,True,True,,,
2026-05-13,스마트카(SMART CAR),2,34.06,012330,현대모비스,573000,46.36,True,454750.0,432000.0,2.92,0,True,False,,,
