exit_date,exit_time,code,name,sector,entry_date,entry_time,entry_price,exit_price,qty,profit,profit_rate,reason,hold_days,peak_price,min_price,trigger_price,momentum,foreign_net_buy_mil,ma20_at_entry,ma60_at_entry,volume_ratio,kospi_trend,dip_entry_used
2026-05-18,10:30:29,412350,레이저쎌,LED장비,2026-05-18,09:24:44,10670,13060,156,372840,22.4,부분익절(+22.4%),0,13060,10470,,28.31,0,8445.0,7099.0,1.39,True,True
2026-05-18,10:36:39,412350,레이저쎌,LED장비,2026-05-18,09:24:44,10670,12580,156,297960,17.9,모멘텀약화(+17.9%),0,13190,10470,,28.31,0,8445.0,7099.0,1.39,True,True
2026-05-19,09:54:15,036930,주성엔지니어링,,2026-05-18,,161940,181900,20,399200,12.33,모멘텀약화(+12.3%),1,188300,161940,,,,,,,,
2026-05-20,09:30:43,290660,다이나믹솔루션,지능형로봇/인공지능(AI),2026-05-20,09:16:59,1178,1095,2231,-185173,-7.05,손절(캔들확인),0,1178,1095,1119,11.46,0,1081.0,1063.0,1.06,True,True
2026-05-20,09:30:47,261780,차백신연구소,코로나19(진단/치료제/백신 개발 등),2026-05-20,09:23:05,3815,3540,689,-189475,-7.21,손절(캔들확인),0,3815,3540,3624,-0.69,0,3505.0,3450.0,2.98,True,True
2026-05-20,14:50:21,078890,가온그룹,지능형로봇/인공지능(AI),2026-05-20,09:15:56,8820,8380,298,-131120,-4.99,손절(캔들확인),0,8940,8380,8379,22.41,0,7910.0,6968.0,4.67,True,True
2026-05-21,09:32:54,031330,에스에이엠티,반도체 재료/부품,2026-05-21,09:15:55,14390,13610,176,-137280,-5.42,손절(캔들확인),0,14390,13610,13670,112.08,0,9893.0,6928.0,1.72,True,True
2026-05-21,09:43:15,048770,TPC로보틱스,로봇(산업용/협동로봇 등),2026-05-21,09:18:58,5730,5850,444,53280,2.09,본전보호(캔들확인),0,6150,5700,5844,59.21,0,5015.0,3783.0,1.01,True,True
2026-05-21,10:07:41,066570,LG전자,,2026-05-20,,180600,210000,14,411600,16.28,모멘텀약화(+16.3%),1,211500,180600,,,,,,,,
2026-05-22,09:42:39,006260,LS,,2026-05-21,,510000,568000,4,232000,11.37,모멘텀약화(+11.4%),1,576000,510000,,,,,,,,
2026-05-29,13:38:58,012330,현대모비스,자동차 대표주,2026-05-28,09:36:08,687000,779000,3,276000,13.39,모멘텀약화(+13.4%),1,784000,655000,,66.01,0,558575.0,461125.0,1.71,True,False
2026-06-01,10:37:45,005930,삼성전자,,2026-05-29,,302406,343000,16,649504,13.42,모멘텀약화(+13.4%),3,345000,302406,,,,,,,,
2026-06-02,12:21:01,018260,삼성에스디에스,IT 대표주,2026-06-02,09:30:09,303000,286500,6,-99000,-5.45,손절(캔들확인),0,308000,286500,287850,80.51,0,208100.0,177733.0,2.88,True,False,32864.0,0.913,250197.3,True
2026-06-04,10:08:54,034220,LG디스플레이,,2026-06-03,,16579,15830,122,-91378,-4.52,손절(캔들확인),1,16690,15760,15750,,,,,,,,,,,True
2026-06-04,11:06:00,009150,삼성전기,반도체 기판(FC-BGA/PCB/MLB 등),2026-06-04,09:27:10,1800000,1716000,2,-168000,-4.67,손절(캔들확인),0,1820000,1713000,1710000,92.81,0,1302650.0,805142.0,1.35,True,True,187000.0,0.778,1980215.9,True
2026-06-05,09:23:48,000660,SK하이닉스,,2026-06-03,,2199000,2095000,1,-104000,-4.73,손절(캔들확인),2,2360000,2095000,2089050,,,,,,,,,,,True
2026-06-05,09:38:20,000650,천일고속,서울고속버스터미널 재개발 수혜,2026-06-05,09:16:06,245000,232500,9,-112500,-5.1,손절(캔들확인),0,246000,232500,232750,26.62,0,225315.0,220955.0,1.89,True,True,53907.0,0.623,26012.8,True
2026-06-05,09:38:22,084670,동양고속,서울고속버스터미널 재개발 수혜,2026-06-05,09:23:16,47600,44650,50,-147500,-6.2,손절(캔들확인),0,47850,44650,45220,31.7,0,43240.0,41598.0,1.61,True,True,10593.0,0.619,44483.7,True
2026-06-10,09:18:50,023530,롯데쇼핑,,2026-06-09,,173700,192000,13,237900,10.54,모멘텀약화(+10.5%),1,193500,173700,,,,,,,,,,,,True
2026-06-10,13:29:48,009150,삼성전기,,2026-06-09,,1800000,1829000,2,58000,1.61,본전보호(캔들확인),1,1935000,1800000,1836000,,,,,,,,,,,True
